client_id,stock_id,score
1060,516,0.07837152314083912
315,171,0.27699367038098743
1429,261,0.30083705354009177
1934,831,0.33740169274125636
248,272,0.15206229429354728
856,445,0.212955098537103
1876,501,0.21081533653155693
1794,672,0.4165216532606945
682,108,0.32303011339371945
225,352,0.3674863418511774
1183,403,0.3543432153815026
1488,914,0.34072682373646257
1155,92,0.3497015086459066
1193,459,0.7837679554118265
940,10,0.4418640450405059
531,4,0.35104420686417304
1944,545,0.6723407657410422
1781,18,0.2939276545891548
11,536,0.25486756751679246
23,7,0.25888750311930586
1903,227,0.33610464582446375
1479,223,0.3465682507645067
735,256,0.45733085344428276
698,437,0.28780436427054285
1723,635,0.34288426471164485
1942,888,0.32565975267093955
231,866,0.21475046580747215
1839,281,0.37086674212770865
277,124,0.6975489521089038
714,986,0.7862185891026958
1505,849,0.3489274549397857
394,772,0.1103261043873894
185,888,0.2548843139289516
1000,207,0.23484738127046645
1737,73,0.23816447089630935
839,640,0.42477928722151237
911,793,0.40206004693901276
241,833,0.18920979462605722
1076,776,0.4133308847955314
4,580,0.5718324469812793
1075,976,0.4606086379948549
980,782,0.7865850937808364
576,326,0.3497637780656654
773,723,0.5234732883428355
1465,153,0.28379874359824914
1138,368,0.6144485540362867
1356,129,0.1667048399939666
906,100,0.3134015891443581
1219,801,0.35965412300207505
1928,696,0.556775569342842
1461,412,0.4015470168886352
716,506,0.18938057375211081
557,103,0.40733648391446464
117,516,0.24852331683480405
928,722,0.6601043010498515
1782,628,0.16348964023510648
475,681,0.5402519895972472
1404,994,0.44120865723814884
1306,843,0.40301376407220246
960,934,0.3885114016512241
889,913,0.30439413266904813
1400,541,0.3508077942029816
1424,672,0.2734828831707653
1538,23,0.25189264470153766
1942,58,0.46794684824312016
413,321,0.5714973492666542
401,58,0.6558431769290387
285,17,0.6750042270933811
1028,836,0.19558509662441748
141,396,0.38392221701664675
1041,579,0.15894837889260904
1798,460,0.5121760747089991
1633,616,0.35728588653834203
670,762,0.6392179716666899
498,275,0.5881437527503146
1180,30,0.4174732918258536
842,982,0.3191478868423135
312,598,0.5329710722528862
1146,702,0.2503166239558223
27,154,0.31585967173442553
965,229,0.3498383133850644
1341,224,0.4247812311786673
1056,88,0.466304894440266
1550,131,0.4984052364967837
289,829,0.20795164064620342
1006,951,0.4168517992746122
1332,897,0.5345892642677015
1401,432,0.296845241966222
1882,111,0.3846385485947141
303,935,0.24160471720178356
1470,715,0.40359590065870204
1970,880,0.3680791271653573
887,807,0.44117233656705934
1827,650,0.19723894270849077
532,501,0.47267472791284115
1515,40,0.30557048537294995
526,790,0.5302025116393251
749,955,0.4441679546546162
111,462,0.4368217848789131
1947,989,0.49780943347440676
1799,866,0.4395099169096217
1053,994,0.2747063029501692
229,650,0.17461402863120531
1185,907,0.5243016792623989
1455,155,0.5883950331832551
1961,947,0.5263412599245817
516,844,0.14552901867039073
810,761,0.6233180521594741
1362,604,0.4028431485813663
1040,219,0.26431731587338675
486,810,0.3412449337398491
834,623,0.38998524519454236
1047,540,0.6273499716888078
1801,10,0.36982517950530125
81,993,0.32668746745591426
1585,518,0.26706934511701363
1534,611,0.30322654106653935
1316,992,0.36828818897533444
1106,565,0.43478001895926155
