user_id,item_id,score
340,4,0.6541293895713772
367,178,0.3997328516579356
124,166,0.6232976097950096
423,37,0.4203541148142206
443,58,0.35822937624390283
318,48,0.641734434151483
447,31,0.24751610794144127
382,67,0.33973344063866046
365,115,0.7994059670425915
212,78,0.4351381807304215
213,115,0.5957513828988675
488,167,0.47364682341646813
57,27,0.46549292392716324
455,43,0.32095948022694165
96,41,0.19010937789683718
435,22,0.2929894494869132
88,122,0.2929927447749534
306,10,0.6136284905427638
267,73,0.3350652915118366
296,163,0.4685115981798949
484,84,0.507582660289789
398,175,0.3208746783410116
237,103,0.5730353415302718
453,11,0.4620561677201459
385,6,0.5273064781839156
282,113,0.392984038754969
362,39,0.4451351532768473
7,100,0.2977044188068513
415,123,0.5218441216230412
477,197,0.4105634708329077
365,18,0.45135164963740526
301,118,0.24709925675865366
15,128,0.6490749622948939
20,157,0.4184278413975142
268,161,0.35534977880389473
282,68,0.35047725908383576
24,130,0.5553366150322486
417,153,0.3634443934708439
381,132,0.37267619683996395
133,59,0.7634456249287372
427,120,0.4799409833584065
363,130,0.2941116642977638
75,29,0.3271547024059865
247,189,0.3369220132945914
416,162,0.326711725159961
430,81,0.2923162763258231
313,74,0.5486812141278137
149,16,0.7757297890944109
324,107,0.35466190053470315
418,32,0.7099922511128813
211,124,0.7763316861218204
423,155,0.4807564408700209
46,166,0.43105940975306006
0,199,0.3267215223631351
246,86,0.20771095438241008
441,152,0.2636616838179533
302,37,0.25392326433904994
312,116,0.409633913718506
436,45,0.394261615875231
400,38,0.424164127590018
392,98,0.3121019458643809
218,150,0.38564668800214763
442,90,0.3540370072643325
141,99,0.46886528899860525
327,189,0.3573906858070215
333,83,0.3239477379704149
368,24,0.4318117368227705
101,149,0.6084093585894277
431,82,0.31152759496219096
172,70,0.3551218045046031
205,62,0.2904154313676686
120,18,0.3279944642594983
430,141,0.2010947689908763
163,167,0.4886006105786983
464,29,0.31890770702624127
307,88,0.47626333383373853
141,52,0.35204805633545844
221,40,0.2792878508701184
195,67,0.7719914917881132
119,126,0.3211895607657166
254,182,0.5186364847378804
431,157,0.5575099254658414
267,34,0.35375491982488794
468,148,0.3835668326213042
324,47,0.23007909265792237
416,188,0.6007403947772532
392,67,0.6390091513271036
437,75,0.687974605898924
173,46,0.7196508752873285
307,92,0.4812728103617057
405,20,0.7836421069641506
156,178,0.3631958217170962
131,54,0.5245980809950277
405,75,0.7745267392939447
428,66,0.5216010959715153
161,90,0.4563685001990858
438,104,0.7117953027382224
261,152,0.23105375947869441
209,144,0.5235003749845288
282,135,0.4163456037880073
466,123,0.5444355563740813
108,98,0.2448359823024986
423,141,0.2848485091353827
311,176,0.39293820275565183
140,188,0.5906761574305792
340,176,0.46180573780206957
191,61,0.4435721767718447
232,8,0.4525817198362798
343,36,0.43835554691392953
276,50,0.25338146648902915
58,166,0.5626564632163729
191,10,0.8230654643126369
493,146,0.2951040733292638
44,0,0.41482430911100543
167,107,0.7167937649756368
444,108,0.4243346742908154
267,188,0.47041633650658776
102,196,0.25508908580292433
7,152,0.19015977575208576
492,174,0.25528881818131993
214,176,0.5033239676532492
449,67,0.7941997304441043
477,160,0.3183066113399295
146,155,0.2521381401236153
423,83,0.35544530431522775
242,142,0.39866647777307507
40,166,0.39502367775525055
201,193,0.32358520203452956
306,74,0.4915112783304559
50,117,0.6150783220243474
