stock_id,stock_code,stock_name,industry,industry_code,pe,pb,roe,net_profit_growth,ma5,ma20,macd,rsi,volatility,beta,expected_return
0,100000,股票0,公用事业,8,13.188901092399655,2.196657673270948,0.09331668777889904,0.192988383756135,73.67781711708452,80.87434334605541,-0.7596955440271302,38.35618295804918,0.01814004607191431,1.2363010460306216,0.05710035771102381
1,100001,股票1,金融,0,17.837787108965387,3.367810824172924,-0.02600503406595167,0.22459646559899968,90.03499379502396,91.61442720775524,1.3494682960296445,61.24686267336821,0.046194434089970246,1.0438606776283659,0.020855813194015242
2,100002,股票2,工业,6,5.0,0.5,0.1043756630304578,0.19941380033976622,36.00582089752325,34.019642966502765,-0.191974921627468,49.13638249323485,0.09754818632414738,1.232731794356512,0.10145228741247311
3,100003,股票3,医药,2,14.911847579252896,0.5,0.21612829397140138,-0.1854458254295196,57.57470404227361,58.58790205165453,2.207154516572003,56.656812431090586,0.028078737604214865,1.0457762925776881,0.15648776826696514
4,100004,股票4,医药,2,5.0,0.5,0.07853154609557886,0.07737325269835502,42.94366361227587,45.687760135160886,4.383865211333915,47.281327486969325,0.053224050162046704,1.1528462278988383,0.09523298809640343
5,100005,股票5,消费,3,5.0,3.114558845994251,0.10165630923561944,0.26629261048615205,10.127950482789107,10.851903837493097,-1.9034069162672673,60.46315236823402,0.03537801606327684,1.4194975632130336,0.09144155943679277
6,100006,股票6,消费,3,5.0,1.9345602267746749,0.057975701427440324,0.4908670675803141,62.14886404479348,65.88090898117119,3.1887517043894134,28.617715498089215,0.0435516420898539,0.9513682419227748,0.07205334334067633
7,100007,股票7,消费,3,5.9831247491901545,2.8745348579166077,0.04530503549565965,0.30908139964746856,83.42164681040248,89.89866055654221,1.548489327759801,93.8014883886238,0.02051487059931136,0.8789277435564449,0.05880697892762323
8,100008,股票8,能源,4,5.0,0.5,0.08449541417573825,0.4641828407839387,13.279553749305467,12.84070790046337,-2.198151987257827,30.133543887730585,0.08146075421520026,1.1289327502256143,0.07668593335242921
9,100009,股票9,消费,3,5.0,3.0353841935569372,0.1314896607293387,-0.12587095005523374,10.314258274267322,10.32987534222779,2.9729965818199364,61.047665654988755,0.05368071231826885,0.3,0.11184904406015
10,100010,股票10,工业,6,16.701122866824768,1.9334894770944135,0.08831232899939362,-0.2510019980998456,75.50365658596643,79.72568660545595,-0.7286698080242848,36.42721287803648,0.024180545033732112,1.2126597753383246,0.07141032800981645
11,100011,股票11,工业,6,8.089625402388338,0.5,0.08129613708014581,-0.32572623458482014,71.54737525079499,68.17677769811858,-3.796028245187051,46.87514184657837,0.06137889274962591,0.7413652814726476,0.07906173636496068
12,100012,股票12,消费,3,16.449960838586858,0.8212520389233027,0.12477978574488466,0.44511996101949275,46.52668948015188,45.331711367239585,4.934163572758093,59.2252039649918,0.05524377838163882,1.502771543008353,0.10896302638693398
13,100013,股票13,金融,0,37.57542588532002,0.5,0.11000485592120365,-0.2319094493755628,69.54443934588187,74.15044621234514,-0.7435366702768109,51.95600038589653,0.0352809331451618,1.2369244608815417,0.08558670790415038
14,100014,股票14,材料,5,60.01928484327482,0.9079111890235981,0.11396369204522652,0.5185115578664192,95.80474652779007,100.97984396832688,0.4155254737616132,52.58751894278528,0.13320041119608775,1.2748265416453692,0.11694196938143958
15,100015,股票15,工业,6,6.424995191673916,1.5673017213406264,0.1595147220563037,0.06620446475608355,32.30765168997733,35.352321993317496,3.0796173076376068,42.63938286362841,0.06444442989671573,1.2819059214729254,0.11909068999716657
16,100016,股票16,材料,5,12.613218134674105,4.072347311222335,0.15323171145861017,0.7006278802825785,32.13339350784254,35.32085942622914,4.608761351199334,36.1694400944662,0.09490396035157396,0.862239689858424,0.12508704383477728
17,100017,股票17,能源,4,6.329624981047888,0.5,0.17478700137634695,0.06541434395844437,26.76089842877925,25.373316659658038,3.7288784996031565,63.26200971595181,0.045933308963752514,0.9219726127224983,0.11117349337729923
18,100018,股票18,科技,1,20.372774277169807,0.6254923069433157,0.03935841945205207,0.08186094315155257,75.15880749763753,81.17827618228927,0.2505320780156661,32.91432041864287,0.022092692089765883,0.4924290186603151,0.08630701735295579
